n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,num_topics
15,5,0.0,50,25,0.013497209176421165,210
15,15,0.1,100,25,0.013395777903497219,93
10,5,0.1,100,15,0.013377857394516468,108
15,15,0.0,100,35,0.013365075923502445,95
30,10,0.1,50,15,0.013301377184689045,185
30,5,0.0,10,15,0.013224529102444649,530
30,5,0.1,50,25,0.013223388232290745,175
10,5,0.1,50,15,0.013178807683289051,207
30,5,0.0,30,25,0.013091999106109142,290
15,15,0.0,100,25,0.012955398298799992,101
10,5,0.1,50,25,0.012937819585204124,194
10,15,0.1,100,25,0.012934953905642033,98
10,10,0.0,30,15,0.012803302146494389,349
15,5,0.1,50,15,0.012790758162736893,204
15,10,0.1,100,25,0.01267009973526001,93
15,10,0.0,30,25,0.012658690102398396,317
30,15,0.0,10,35,0.012656206265091896,262
10,10,0.1,50,25,0.012640845961868763,188
15,5,0.1,100,15,0.012626423500478268,99
10,5,0.0,100,35,0.012562662363052368,113
30,10,0.1,30,35,0.012331429868936539,220
30,5,0.0,50,35,0.012330177240073681,190
30,5,0.1,30,35,0.012323940172791481,215
30,10,0.1,50,35,0.012280155904591084,163
30,5,0.0,100,35,0.012224630452692509,100
30,5,0.1,50,35,0.012219289317727089,171
15,10,0.0,100,35,0.01219638530164957,98
15,15,0.0,10,15,0.012176599353551865,584
30,5,0.1,50,15,0.012157099321484566,178
15,5,0.0,30,35,0.011998167261481285,267
10,15,0.0,30,35,0.011992325074970722,280
30,15,0.0,10,25,0.0118767274543643,346
30,10,0.0,10,15,0.011872799135744572,528
30,15,0.1,50,25,0.01181916892528534,165
30,5,0.1,30,25,0.011740576475858688,251
10,5,0.1,50,35,0.01172628067433834,177
30,10,0.1,30,25,0.011678100563585758,257
15,10,0.1,50,15,0.011649901047348976,196
10,15,0.1,50,15,0.01155806053429842,204
10,15,0.0,30,15,0.01152021624147892,343
30,15,0.1,50,15,0.011431111954152584,185
30,10,0.1,30,15,0.011355536989867687,272
10,5,0.0,30,35,0.011326503939926624,283
